@relation jAudio
@ATTRIBUTE "Class" {CavaloMarinho, Coco, Ciranda, MaracatuSolto, MaracatuVirado}
@ATTRIBUTE "Spectral Centroid Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Flux Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Compactness Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Variability Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Root Mean Square Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Zero Crossings Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Strongest Beat Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Beat Sum Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation10" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation11" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation12" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "Spectral Centroid Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Flux Overall Average0" NUMERIC
@ATTRIBUTE "Compactness Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Variability Overall Average0" NUMERIC
@ATTRIBUTE "Root Mean Square Overall Average0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Average0" NUMERIC
@ATTRIBUTE "Zero Crossings Overall Average0" NUMERIC
@ATTRIBUTE "Strongest Beat Overall Average0" NUMERIC
@ATTRIBUTE "Beat Sum Overall Average0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat Overall Average0" NUMERIC
@ATTRIBUTE "MFCC Overall Average0" NUMERIC
@ATTRIBUTE "MFCC Overall Average1" NUMERIC
@ATTRIBUTE "MFCC Overall Average2" NUMERIC
@ATTRIBUTE "MFCC Overall Average3" NUMERIC
@ATTRIBUTE "MFCC Overall Average4" NUMERIC
@ATTRIBUTE "MFCC Overall Average5" NUMERIC
@ATTRIBUTE "MFCC Overall Average6" NUMERIC
@ATTRIBUTE "MFCC Overall Average7" NUMERIC
@ATTRIBUTE "MFCC Overall Average8" NUMERIC
@ATTRIBUTE "MFCC Overall Average9" NUMERIC
@ATTRIBUTE "MFCC Overall Average10" NUMERIC
@ATTRIBUTE "MFCC Overall Average11" NUMERIC
@ATTRIBUTE "MFCC Overall Average12" NUMERIC
@ATTRIBUTE "LPC Overall Average0" NUMERIC
@ATTRIBUTE "LPC Overall Average1" NUMERIC
@ATTRIBUTE "LPC Overall Average2" NUMERIC
@ATTRIBUTE "LPC Overall Average3" NUMERIC
@ATTRIBUTE "LPC Overall Average4" NUMERIC
@ATTRIBUTE "LPC Overall Average5" NUMERIC
@ATTRIBUTE "LPC Overall Average6" NUMERIC
@ATTRIBUTE "LPC Overall Average7" NUMERIC
@ATTRIBUTE "LPC Overall Average8" NUMERIC
@ATTRIBUTE "LPC Overall Average9" NUMERIC
@DATA
MaracatuVirado,2.826E1,2.496E-1,2.926E-3,1.551E2,1.647E-3,6.209E-2,2.859E-2,5.104E1,2.386E0,3.388E1,8.759E-5,1.338E1,3.977E0,2.393E0,2.096E0,2.045E0,1.85E0,1.759E0,1.555E0,1.49E0,1.428E0,1.367E0,1.396E0,1.358E0,2.297E-1,1.285E-1,1.458E-1,1.524E-1,1.188E-1,7.875E-2,7.045E-2,6.696E-2,7.005E-2,0E0,5.109E1,4.159E-1,4.396E-3,1.51E3,3.867E-3,1.875E-1,4.651E-1,1.262E2,2.201E2,9.326E2,9.594E-3,-8.907E1,2.548E0,3.386E0,-2.733E0,-7.064E-1,-1.123E0,-7.909E-1,-1.482E0,-1.195E0,-1.309E0,-4.005E-1,-7.149E-1,-8.477E-1,-6.557E-1,-1.301E-1,-2.917E-1,5.843E-2,2.772E-2,1.711E-1,-1.728E-2,1.464E-1,2.544E-2,0E0
MaracatuVirado,8.22E0,6.34E-2,5.785E-3,1.645E2,3.07E-3,1.115E-1,4.829E-2,2.26E1,1.424E1,2.098E2,4.186E-4,1.488E1,3.451E0,2.158E0,1.845E0,1.995E0,1.626E0,1.487E0,1.416E0,1.36E0,1.336E0,1.352E0,1.304E0,1.172E0,4.724E-2,2.175E-1,1.295E-1,9.674E-2,8.344E-2,6.776E-2,6.36E-2,6.192E-2,6.747E-2,0E0,1.142E1,5.603E-2,5.252E-3,1.519E3,5.499E-3,2.191E-1,5.638E-1,3.698E1,2.182E2,1.247E3,9.833E-3,-1.008E2,9.094E0,5.108E0,1.123E0,2.659E-1,1.128E0,8.125E-1,1.097E-1,-9.097E-2,-4.059E-1,-4.624E-1,-7.077E-1,-7.717E-1,-9.602E-1,5.867E-2,7.381E-2,8.16E-2,8.657E-2,8.03E-2,8.843E-2,7.164E-2,4.958E-2,0E0
MaracatuVirado,5.883E0,4.931E-2,4.232E-3,1.867E2,1.958E-3,6.841E-2,3.091E-2,1.398E1,1.347E1,4.076E1,5.451E-5,1.279E1,2.994E0,1.985E0,1.692E0,1.462E0,1.38E0,1.382E0,1.341E0,1.311E0,1.285E0,1.165E0,1.073E0,1.08E0,2.925E-2,1.195E-1,1.294E-1,8.133E-2,7.296E-2,6.518E-2,5.477E-2,6.122E-2,5.305E-2,0E0,1.839E1,1.273E-1,4.978E-3,1.496E3,4.773E-3,2.024E-1,5.694E-1,5.012E1,1.968E2,1.085E3,9.069E-3,-8.517E1,6.224E0,-1.196E0,2.057E0,6.138E-1,1.105E0,-8.166E-1,-1.25E0,-9.107E-1,-3.893E-1,-6.308E-1,-9.329E-1,-8.537E-1,-9.459E-1,6.18E-1,-2.577E-1,3.344E-2,1.798E-2,-2.264E-2,2.409E-2,4.672E-3,-1.222E-2,0E0
MaracatuVirado,3.789E0,3.094E-2,5.676E-3,1.513E2,2.724E-3,9.657E-2,3.487E-2,1.168E1,4.424E1,2.069E2,1.332E-4,1.556E1,2.573E0,2.038E0,1.752E0,1.522E0,1.457E0,1.475E0,1.385E0,1.353E0,1.308E0,1.233E0,1.214E0,1.132E0,1.891E-2,2.061E-1,1.241E-1,7.969E-2,8.269E-2,6.651E-2,6.247E-2,5.712E-2,5.757E-2,0E0,7.875E0,3.786E-2,5.937E-3,1.516E3,5.947E-3,2.331E-1,5.778E-1,2.601E1,1.696E2,1.429E3,9.063E-3,-1.003E2,1.055E1,4.394E0,9.876E-1,8.523E-1,9.296E-1,2.409E-1,-2.814E-1,-6.359E-2,-2.21E-1,-1.919E-1,-5.138E-1,-4.291E-1,-9.809E-1,1.566E-1,1.042E-1,1.015E-1,8.692E-2,9.355E-2,5.405E-2,3.931E-2,2.758E-2,0E0
MaracatuVirado,2.112E1,1.494E-1,1.194E-3,1.537E2,8.646E-4,3.862E-2,2.792E-2,3.623E1,1.052E-12,1.68E1,8.204E-5,1.409E1,3.836E0,2.788E0,2.103E0,2.112E0,2.002E0,1.609E0,1.583E0,1.55E0,1.472E0,1.416E0,1.371E0,1.222E0,1.658E-1,1.358E-1,8.991E-2,8.28E-2,8.457E-2,7.942E-2,7.196E-2,6.406E-2,6.492E-2,0E0,5.828E1,4.671E-1,1.946E-3,1.515E3,2.491E-3,1.342E-1,5.048E-1,1.408E2,2.206E2,4.812E2,9.282E-3,-9.101E1,-2.803E0,1.748E0,-9.013E-1,-3.292E-1,9.27E-2,-3.051E-2,-6.598E-1,-1.291E0,-7.948E-1,4.846E-1,3.018E-2,-1.231E0,-6.215E-1,6.333E-2,-1.578E-1,-1.916E-2,-5.581E-2,1.119E-2,6.553E-3,1.711E-2,1.66E-2,0E0
MaracatuVirado,1.52E1,1.327E-1,6.762E-4,1.947E2,9.824E-4,3.775E-2,6.168E-2,3.327E1,4.039E1,4.774E1,7.482E-3,4.019E1,5.147E0,5.422E0,3.618E0,3.167E0,2.416E0,2.268E0,2.056E0,2.539E0,2.275E0,2.309E0,2.097E0,2.062E0,1.064E-1,2.987E-1,2.366E-1,2.133E-1,1.712E-1,1.488E-1,1.321E-1,1.338E-1,1.263E-1,0E0,1.848E1,1.127E-1,3.495E-4,1.534E3,8.945E-4,3.63E-2,6.271E-1,5.07E1,1.898E2,4.678E1,1.633E-2,-1.596E2,6.332E0,2.74E0,-8.583E-1,-8.031E-2,4.587E-1,5.56E-1,-7.516E-1,-4.913E-2,-1.134E0,-7.535E-1,-7.427E-1,-1.024E0,-9.22E-1,2.64E-1,-1.201E-1,1.336E-1,1.895E-2,1.033E-1,3.359E-2,4.89E-2,7.025E-2,0E0
MaracatuVirado,1.859E1,2.074E-1,9.318E-4,1.738E2,8.59E-4,3.184E-2,2.655E-2,3.514E1,1.052E-12,3.454E1,7.447E-5,1.252E1,2.741E0,2.209E0,1.814E0,1.506E0,1.466E0,1.442E0,1.356E0,1.406E0,1.256E0,1.207E0,1.132E0,1.073E0,1.483E-1,1.947E-1,1.314E-1,1.069E-1,7.584E-2,6.562E-2,7.247E-2,6.49E-2,5.794E-2,0E0,4.554E1,3.743E-1,1.311E-3,1.517E3,2.116E-3,1.062E-1,5.161E-1,1.232E2,2.206E2,3.05E2,9.292E-3,-9.547E1,1.282E0,-1.59E-1,-6.078E-1,2.843E-1,1.692E-1,8.052E-2,-1.925E-1,-4.535E-1,-3.437E-2,-3.944E-1,-3.722E-1,-7.302E-1,-7.303E-1,-1.002E-1,6.392E-2,1.99E-2,-8.218E-2,8.393E-2,3.905E-2,-1.43E-2,-1.935E-2,0E0
MaracatuVirado,2.038E1,1.691E-1,4.069E-4,1.551E2,5.078E-4,1.838E-2,3.183E-2,4.135E1,1.052E-12,6.845E0,8.084E-5,1.371E1,4.639E0,2.556E0,2.136E0,1.967E0,1.716E0,1.663E0,1.642E0,1.598E0,1.445E0,1.467E0,1.311E0,1.278E0,1.561E-1,1.985E-1,1.061E-1,1.161E-1,9.134E-2,8.945E-2,8.078E-2,7.974E-2,7.641E-2,0E0,4.088E1,3.002E-1,4.845E-4,1.524E3,1.382E-3,6.481E-2,5.121E-1,1.002E2,2.206E2,1.109E2,9.246E-3,-1.086E2,6.205E-1,1.192E0,-6.092E-1,4.898E-1,3.493E-1,-6.239E-1,-1.308E0,-1.462E0,-9.064E-1,-1.294E-1,-2.078E-1,-9.137E-1,-7.735E-1,2.859E-1,-2.311E-1,1.136E-1,-3.112E-2,4.802E-2,8.423E-3,3.546E-2,1.609E-2,0E0
MaracatuVirado,7.16E0,5.565E-2,5.309E-3,1.464E2,2.311E-3,7.994E-2,3.398E-2,1.642E1,9.618E0,2.161E2,1.056E-4,1.317E1,3.54E0,2.482E0,1.806E0,1.823E0,1.673E0,1.71E0,1.469E0,1.561E0,1.524E0,1.411E0,1.313E0,1.26E0,3.02E-2,1.605E-1,1.391E-1,1.253E-1,8.409E-2,1.004E-1,9.179E-2,8.303E-2,8.476E-2,0E0,1.644E1,1.021E-1,7.138E-3,1.528E3,6.662E-3,2.708E-1,5.61E-1,4.348E1,2.194E2,1.924E3,9.105E-3,-8.335E1,8.794E0,-7.732E-1,2.988E0,1.839E-1,7.152E-1,9.981E-1,-1.34E0,-5.414E-1,-1.043E0,-6.718E-1,-8.923E-1,-8.081E-1,-9.553E-1,5.608E-1,-7.718E-2,4.822E-2,-8.141E-2,-1.968E-2,5.164E-2,1.061E-1,3.554E-2,0E0
MaracatuVirado,1.382E1,1.392E-1,4.009E-3,1.745E2,2.105E-3,7.477E-2,2.626E-2,3.263E1,4.751E0,2.724E2,1.443E-4,1.316E1,3.193E0,2.166E0,1.761E0,1.548E0,1.477E0,1.515E0,1.479E0,1.425E0,1.297E0,1.204E0,1.247E0,1.2E0,9.444E-2,1.755E-1,1.117E-1,9.894E-2,8.555E-2,7.066E-2,6.447E-2,6.371E-2,6.39E-2,0E0,2.193E1,1.55E-1,6.557E-3,1.556E3,6.231E-3,2.674E-1,4.79E-1,6.244E1,2.183E2,1.871E3,9.364E-3,-8.168E1,4.117E0,3.296E0,7.182E-1,7.42E-1,6.986E-1,4.87E-1,-2.983E-1,-1.303E0,-1.113E0,-4.452E-1,-2.754E-1,-4.682E-1,-8.923E-1,9.006E-2,-1.602E-1,1.772E-2,1.956E-2,3.605E-2,2.297E-2,3.587E-2,1.436E-2,0E0
